dsc_cycle,axi_cycle,phase,slice_buffer_valid,slice_buffer_last,flatness_valid,flatness_last,predict_valid,predict_last
5864,1954,pixel_transfer,1,0,0,0,0,0
5865,1954,pixel_transfer,2,0,2,0,2,0
5868,1955,pixel_transfer,1,0,0,0,0,0
5869,1956,pixel_transfer,2,0,2,0,2,0
5872,1957,pixel_transfer,1,0,0,0,0,0
5873,1957,pixel_transfer,2,0,2,0,2,0
5876,1958,pixel_transfer,1,0,1,0,0,0
5877,1958,pixel_transfer,2,0,2,0,2,0
5880,1959,pixel_transfer,1,0,1,0,1,0
5881,1960,pixel_transfer,2,0,2,0,2,0
5884,1961,pixel_transfer,1,0,1,0,1,0
5885,1961,pixel_transfer,2,0,2,0,2,0
5888,1962,pixel_transfer,1,0,1,0,1,0
5889,1962,pixel_transfer,2,0,2,0,2,0
5892,1963,pixel_transfer,1,0,1,0,1,0
5893,1964,pixel_transfer,2,0,2,0,2,0
5896,1965,pixel_transfer,1,0,1,0,1,0
5897,1965,pixel_transfer,2,2,2,0,2,0
5900,1966,pixel_transfer,1,0,1,0,1,0
5901,1966,pixel_transfer,0,0,2,0,2,0
5904,1967,pixel_transfer,1,0,1,0,1,0
5905,1968,pixel_transfer,0,0,2,0,2,0
5908,1969,pixel_transfer,1,0,1,0,1,0
5909,1969,pixel_transfer,0,0,2,0,2,0
5912,1970,pixel_transfer,1,0,1,0,1,0
5913,1970,pixel_transfer,0,0,2,0,2,0
5916,1971,pixel_transfer,1,0,1,0,1,0
5917,1972,pixel_transfer,0,0,2,0,2,0
5920,1973,pixel_transfer,3,0,1,0,1,0
5921,1973,pixel_transfer,0,0,2,0,2,0
5924,1974,pixel_transfer,3,0,1,0,1,0
5925,1974,pixel_transfer,0,0,2,2,2,0
5928,1975,pixel_transfer,3,0,1,0,1,0
5929,1976,pixel_transfer,0,0,0,0,2,2
5932,1977,line_marker,3,0,1,0,1,0
5936,1978,pixel_transfer,3,0,1,0,1,0
5940,1979,pixel_transfer,3,0,1,0,1,0
5944,1981,pixel_transfer,3,0,1,0,1,0
5948,1982,pixel_transfer,3,0,3,0,1,0
5952,1983,pixel_transfer,3,0,3,0,3,0
5956,1985,pixel_transfer,3,0,3,0,3,0
5960,1986,pixel_transfer,3,0,3,0,3,0
5964,1987,pixel_transfer,3,0,3,0,3,0
5968,1989,pixel_transfer,3,0,3,0,3,0
5972,1990,pixel_transfer,3,1,3,0,3,0
5976,1991,pixel_transfer,2,0,3,0,3,0
5980,1993,pixel_transfer,2,0,3,0,3,0
5984,1994,pixel_transfer,2,0,3,0,3,0
5988,1995,pixel_transfer,2,0,3,0,3,0
5992,1997,pixel_transfer,2,0,3,0,3,0
5995,1998,pixel_transfer,1,0,0,0,0,0
5996,1998,pixel_transfer,2,0,3,0,3,0
5999,1999,pixel_transfer,1,0,0,0,0,0
6000,1999,pixel_transfer,2,0,3,1,3,0
6003,2000,pixel_transfer,1,0,0,0,0,0
6004,2001,pixel_transfer,2,0,2,0,3,1
6007,2002,pixel_transfer,1,0,0,0,0,0
6008,2002,pixel_transfer,2,0,2,0,2,0
6011,2003,pixel_transfer,1,0,0,0,0,0
6012,2003,pixel_transfer,2,0,2,0,2,0
6015,2004,pixel_transfer,1,0,0,0,0,0
6016,2005,pixel_transfer,2,0,2,0,2,0
6019,2006,pixel_transfer,1,0,0,0,0,0
6020,2006,pixel_transfer,2,0,2,0,2,0
6023,2007,pixel_transfer,1,0,1,0,0,0
6024,2007,pixel_transfer,2,0,2,0,2,0
6027,2008,pixel_transfer,1,0,1,0,1,0
6028,2009,pixel_transfer,2,0,2,0,2,0
6031,2010,pixel_transfer,1,0,1,0,1,0
6032,2010,pixel_transfer,2,0,2,0,2,0
6035,2011,pixel_transfer,1,0,1,0,1,0
6036,2011,pixel_transfer,2,0,2,0,2,0
6039,2012,pixel_transfer,1,0,1,0,1,0
6040,2013,pixel_transfer,2,0,2,0,2,0
6043,2014,pixel_transfer,1,0,1,0,1,0
6044,2014,pixel_transfer,2,2,2,0,2,0
6047,2015,pixel_transfer,1,0,1,0,1,0
6048,2015,pixel_transfer,0,0,2,0,2,0
6051,2016,pixel_transfer,1,0,1,0,1,0
6052,2017,pixel_transfer,0,0,2,0,2,0
6055,2018,pixel_transfer,1,0,1,0,1,0
6056,2018,pixel_transfer,0,0,2,0,2,0
6059,2019,pixel_transfer,1,0,1,0,1,0
6060,2019,pixel_transfer,0,0,2,0,2,0
6063,2020,pixel_transfer,1,0,1,0,1,0
6064,2021,pixel_transfer,0,0,2,0,2,0
6067,2022,pixel_transfer,3,0,1,0,1,0
6068,2022,pixel_transfer,0,0,2,0,2,0
6071,2023,pixel_transfer,3,0,1,0,1,0
6072,2023,pixel_transfer,0,0,2,2,2,0
6075,2024,pixel_transfer,3,0,1,0,1,0
6076,2025,pixel_transfer,0,0,0,0,2,2
6079,2026,line_marker,3,0,1,0,1,0
6083,2027,pixel_transfer,3,0,1,0,1,0
6087,2028,pixel_transfer,3,0,1,0,1,0
6091,2030,pixel_transfer,3,0,1,0,1,0
6095,2031,pixel_transfer,3,0,3,0,1,0
6099,2032,pixel_transfer,3,0,3,0,3,0
6103,2034,pixel_transfer,3,0,3,0,3,0
6107,2035,pixel_transfer,3,0,3,0,3,0
6111,2036,pixel_transfer,3,0,3,0,3,0
6115,2038,pixel_transfer,3,0,3,0,3,0
6119,2039,pixel_transfer,3,1,3,0,3,0
6123,2040,pixel_transfer,2,0,3,0,3,0
6127,2042,pixel_transfer,2,0,3,0,3,0
6131,2043,pixel_transfer,2,0,3,0,3,0
6135,2044,pixel_transfer,2,0,3,0,3,0
6139,2046,pixel_transfer,2,0,3,0,3,0
6142,2047,pixel_transfer,1,0,0,0,0,0
6143,2047,pixel_transfer,2,0,3,0,3,0
6146,2048,pixel_transfer,1,0,0,0,0,0
6147,2048,pixel_transfer,2,0,3,1,3,0
6150,2049,pixel_transfer,1,0,0,0,0,0
6151,2050,pixel_transfer,2,0,2,0,3,1
6154,2051,pixel_transfer,1,0,0,0,0,0
6155,2051,pixel_transfer,2,0,2,0,2,0
6158,2052,pixel_transfer,1,0,0,0,0,0
6159,2052,pixel_transfer,2,0,2,0,2,0
6162,2053,pixel_transfer,1,0,0,0,0,0
6163,2054,pixel_transfer,2,0,2,0,2,0
6166,2055,pixel_transfer,1,0,0,0,0,0
6167,2055,pixel_transfer,2,0,2,0,2,0
6170,2056,pixel_transfer,1,0,1,0,0,0
6171,2056,pixel_transfer,2,0,2,0,2,0
6174,2057,pixel_transfer,1,0,1,0,1,0
6175,2058,pixel_transfer,2,0,2,0,2,0
6178,2059,pixel_transfer,1,0,1,0,1,0
6179,2059,pixel_transfer,2,0,2,0,2,0
6182,2060,pixel_transfer,1,0,1,0,1,0
6183,2060,pixel_transfer,2,0,2,0,2,0
6186,2061,pixel_transfer,1,0,1,0,1,0
6187,2062,pixel_transfer,2,0,2,0,2,0
6190,2063,pixel_transfer,1,0,1,0,1,0
6191,2063,pixel_transfer,2,2,2,0,2,0
6194,2064,pixel_transfer,1,0,1,0,1,0
6195,2064,pixel_transfer,0,0,2,0,2,0
6198,2065,pixel_transfer,1,0,1,0,1,0
6199,2066,pixel_transfer,0,0,2,0,2,0
6202,2067,pixel_transfer,1,0,1,0,1,0
6203,2067,pixel_transfer,0,0,2,0,2,0
6206,2068,pixel_transfer,1,0,1,0,1,0
6207,2068,pixel_transfer,0,0,2,0,2,0
6210,2069,pixel_transfer,1,0,1,0,1,0
6211,2070,pixel_transfer,0,0,2,0,2,0
6214,2071,pixel_transfer,3,0,1,0,1,0
6215,2071,pixel_transfer,0,0,2,0,2,0
6218,2072,pixel_transfer,3,0,1,0,1,0
6219,2072,pixel_transfer,0,0,2,2,2,0
6222,2073,pixel_transfer,3,0,1,0,1,0
6223,2074,pixel_transfer,0,0,0,0,2,2
6226,2075,line_marker,3,0,1,0,1,0
6230,2076,pixel_transfer,3,0,1,0,1,0
6234,2077,pixel_transfer,3,0,1,0,1,0
6238,2079,pixel_transfer,3,0,1,0,1,0
6242,2080,pixel_transfer,3,0,3,0,1,0
6246,2081,pixel_transfer,3,0,3,0,3,0
6250,2083,pixel_transfer,3,0,3,0,3,0
6254,2084,pixel_transfer,3,0,3,0,3,0
6258,2085,pixel_transfer,3,0,3,0,3,0
6262,2087,pixel_transfer,3,0,3,0,3,0
6266,2088,pixel_transfer,3,1,3,0,3,0
6270,2089,pixel_transfer,2,0,3,0,3,0
6274,2091,pixel_transfer,2,0,3,0,3,0
6278,2092,pixel_transfer,2,0,3,0,3,0
6282,2093,pixel_transfer,2,0,3,0,3,0
6286,2095,pixel_transfer,2,0,3,0,3,0
6289,2096,pixel_transfer,1,0,0,0,0,0
6290,2096,pixel_transfer,2,0,3,0,3,0
6293,2097,pixel_transfer,1,0,0,0,0,0
6294,2097,pixel_transfer,2,0,3,1,3,0
6297,2098,pixel_transfer,1,0,0,0,0,0
6298,2099,pixel_transfer,2,0,2,0,3,1
6301,2100,pixel_transfer,1,0,0,0,0,0
6302,2100,pixel_transfer,2,0,2,0,2,0
6305,2101,pixel_transfer,1,0,0,0,0,0
6306,2101,pixel_transfer,2,0,2,0,2,0
6309,2102,pixel_transfer,1,0,0,0,0,0
6310,2103,pixel_transfer,2,0,2,0,2,0
6313,2104,pixel_transfer,1,0,0,0,0,0
6314,2104,pixel_transfer,2,0,2,0,2,0
6317,2105,pixel_transfer,1,0,1,0,0,0
6318,2105,pixel_transfer,2,0,2,0,2,0
6321,2106,pixel_transfer,1,0,1,0,1,0
6322,2107,pixel_transfer,2,0,2,0,2,0
6325,2108,pixel_transfer,1,0,1,0,1,0
6326,2108,pixel_transfer,2,0,2,0,2,0
6329,2109,pixel_transfer,1,0,1,0,1,0
6330,2109,pixel_transfer,2,0,2,0,2,0
6333,2110,pixel_transfer,1,0,1,0,1,0
6334,2111,pixel_transfer,2,0,2,0,2,0
6337,2112,pixel_transfer,1,0,1,0,1,0
6338,2112,pixel_transfer,2,2,2,0,2,0
6341,2113,pixel_transfer,1,0,1,0,1,0
6342,2113,pixel_transfer,0,0,2,0,2,0
6345,2114,pixel_transfer,1,0,1,0,1,0
6346,2115,pixel_transfer,0,0,2,0,2,0
6349,2116,pixel_transfer,1,0,1,0,1,0
6350,2116,pixel_transfer,0,0,2,0,2,0
6353,2117,pixel_transfer,1,0,1,0,1,0
6354,2117,pixel_transfer,0,0,2,0,2,0
6357,2118,pixel_transfer,1,0,1,0,1,0
6358,2119,pixel_transfer,0,0,2,0,2,0
6361,2120,pixel_transfer,3,0,1,0,1,0
6362,2120,pixel_transfer,0,0,2,0,2,0
6365,2121,pixel_transfer,3,0,1,0,1,0
6366,2121,pixel_transfer,0,0,2,2,2,0
6369,2122,pixel_transfer,3,0,1,0,1,0
6370,2123,pixel_transfer,0,0,0,0,2,2
6373,2124,line_marker,3,0,1,0,1,0
6377,2125,pixel_transfer,3,0,1,0,1,0
6381,2126,pixel_transfer,3,0,1,0,1,0
6385,2128,pixel_transfer,3,0,1,0,1,0
6389,2129,pixel_transfer,3,0,3,0,1,0
6393,2130,pixel_transfer,3,0,3,0,3,0
6397,2132,pixel_transfer,3,0,3,0,3,0
6401,2133,pixel_transfer,3,0,3,0,3,0
6405,2134,pixel_transfer,3,0,3,0,3,0
6409,2136,pixel_transfer,3,0,3,0,3,0
6413,2137,pixel_transfer,3,1,3,0,3,0
6417,2138,pixel_transfer,2,0,3,0,3,0
6421,2140,pixel_transfer,2,0,3,0,3,0
6425,2141,pixel_transfer,2,0,3,0,3,0
6429,2142,pixel_transfer,2,0,3,0,3,0
6433,2144,pixel_transfer,2,0,3,0,3,0
6436,2145,pixel_transfer,1,0,0,0,0,0
6437,2145,pixel_transfer,2,0,3,0,3,0
6440,2146,pixel_transfer,1,0,0,0,0,0
6441,2146,pixel_transfer,2,0,3,1,3,0
6444,2147,pixel_transfer,1,0,0,0,0,0
6445,2148,pixel_transfer,2,0,2,0,3,1
6448,2149,pixel_transfer,1,0,0,0,0,0
6449,2149,pixel_transfer,2,0,2,0,2,0
6452,2150,pixel_transfer,1,0,0,0,0,0
6453,2150,pixel_transfer,2,0,2,0,2,0
6456,2151,pixel_transfer,1,0,0,0,0,0
6457,2152,pixel_transfer,2,0,2,0,2,0
6460,2153,pixel_transfer,1,0,0,0,0,0
6461,2153,pixel_transfer,2,0,2,0,2,0
6464,2154,pixel_transfer,1,0,1,0,0,0
6465,2154,pixel_transfer,2,0,2,0,2,0
6468,2155,pixel_transfer,1,0,1,0,1,0
6469,2156,pixel_transfer,2,0,2,0,2,0
6472,2157,pixel_transfer,1,0,1,0,1,0
6473,2157,pixel_transfer,2,0,2,0,2,0
6476,2158,pixel_transfer,1,0,1,0,1,0
6477,2158,pixel_transfer,2,0,2,0,2,0
6480,2159,pixel_transfer,1,0,1,0,1,0
6481,2160,pixel_transfer,2,0,2,0,2,0
6484,2161,pixel_transfer,1,0,1,0,1,0
6485,2161,pixel_transfer,2,2,2,0,2,0
6488,2162,pixel_transfer,1,0,1,0,1,0
6489,2162,pixel_transfer,0,0,2,0,2,0
6492,2163,pixel_transfer,1,0,1,0,1,0
6493,2164,pixel_transfer,0,0,2,0,2,0
6496,2165,pixel_transfer,1,0,1,0,1,0
6497,2165,pixel_transfer,0,0,2,0,2,0
6500,2166,pixel_transfer,1,0,1,0,1,0
6501,2166,pixel_transfer,0,0,2,0,2,0
6504,2167,pixel_transfer,1,0,1,0,1,0
6505,2168,pixel_transfer,0,0,2,0,2,0
6508,2169,pixel_transfer,3,0,1,0,1,0
6509,2169,pixel_transfer,0,0,2,0,2,0
6512,2170,pixel_transfer,3,0,1,0,1,0
6513,2170,pixel_transfer,0,0,2,2,2,0
6516,2171,pixel_transfer,3,0,1,0,1,0
6517,2172,pixel_transfer,0,0,0,0,2,2
6520,2173,line_marker,3,0,1,0,1,0
6524,2174,pixel_transfer,3,0,1,0,1,0
6528,2175,pixel_transfer,3,0,1,0,1,0
6532,2177,pixel_transfer,3,0,1,0,1,0
6536,2178,pixel_transfer,3,0,3,0,1,0
6540,2179,pixel_transfer,3,0,3,0,3,0
6544,2181,pixel_transfer,3,0,3,0,3,0
6548,2182,pixel_transfer,3,0,3,0,3,0
6552,2183,pixel_transfer,3,0,3,0,3,0
6556,2185,pixel_transfer,3,0,3,0,3,0
6560,2186,pixel_transfer,3,1,3,0,3,0
6564,2187,pixel_transfer,2,0,3,0,3,0
6568,2189,pixel_transfer,2,0,3,0,3,0
6572,2190,pixel_transfer,2,0,3,0,3,0
6576,2191,pixel_transfer,2,0,3,0,3,0
6580,2193,pixel_transfer,2,0,3,0,3,0
6583,2194,pixel_transfer,1,0,0,0,0,0
6584,2194,pixel_transfer,2,0,3,0,3,0
6587,2195,pixel_transfer,1,0,0,0,0,0
6588,2195,pixel_transfer,2,0,3,1,3,0
6591,2196,pixel_transfer,1,0,0,0,0,0
6592,2197,pixel_transfer,2,0,2,0,3,1
6595,2198,pixel_transfer,1,0,0,0,0,0
6596,2198,pixel_transfer,2,0,2,0,2,0
6599,2199,pixel_transfer,1,0,0,0,0,0
6600,2199,pixel_transfer,2,0,2,0,2,0
6603,2200,pixel_transfer,1,0,0,0,0,0
6604,2201,pixel_transfer,2,0,2,0,2,0
6607,2202,pixel_transfer,1,0,0,0,0,0
6608,2202,pixel_transfer,2,0,2,0,2,0
6611,2203,pixel_transfer,1,0,1,0,0,0
6612,2203,pixel_transfer,2,0,2,0,2,0
6615,2204,pixel_transfer,1,0,1,0,1,0
6616,2205,pixel_transfer,2,0,2,0,2,0
6619,2206,pixel_transfer,1,0,1,0,1,0
6620,2206,pixel_transfer,2,0,2,0,2,0
6623,2207,pixel_transfer,1,0,1,0,1,0
6624,2207,pixel_transfer,2,0,2,0,2,0
6627,2208,pixel_transfer,1,0,1,0,1,0
6628,2209,pixel_transfer,2,0,2,0,2,0
6631,2210,pixel_transfer,1,0,1,0,1,0
6632,2210,pixel_transfer,2,2,2,0,2,0
6635,2211,pixel_transfer,1,0,1,0,1,0
6636,2211,pixel_transfer,0,0,2,0,2,0
6639,2212,pixel_transfer,1,0,1,0,1,0
6640,2213,pixel_transfer,0,0,2,0,2,0
6643,2214,pixel_transfer,1,0,1,0,1,0
6644,2214,pixel_transfer,0,0,2,0,2,0
6647,2215,pixel_transfer,1,0,1,0,1,0
6648,2215,pixel_transfer,0,0,2,0,2,0
6651,2216,pixel_transfer,1,0,1,0,1,0
6652,2217,pixel_transfer,0,0,2,0,2,0
6655,2218,pixel_transfer,3,0,1,0,1,0
6656,2218,pixel_transfer,0,0,2,0,2,0
6659,2219,pixel_transfer,3,0,1,0,1,0
6660,2219,pixel_transfer,0,0,2,2,2,0
6663,2220,pixel_transfer,3,0,1,0,1,0
6664,2221,pixel_transfer,0,0,0,0,2,2
6667,2222,line_marker,3,0,1,0,1,0
6671,2223,pixel_transfer,3,0,1,0,1,0
6675,2224,pixel_transfer,3,0,1,0,1,0
6679,2226,pixel_transfer,3,0,1,0,1,0
6683,2227,pixel_transfer,3,0,3,0,1,0
6687,2228,pixel_transfer,3,0,3,0,3,0
6691,2230,pixel_transfer,3,0,3,0,3,0
6695,2231,pixel_transfer,3,0,3,0,3,0
6699,2232,pixel_transfer,3,0,3,0,3,0
6703,2234,pixel_transfer,3,0,3,0,3,0
6707,2235,pixel_transfer,3,1,3,0,3,0
6711,2236,pixel_transfer,2,0,3,0,3,0
6715,2238,pixel_transfer,2,0,3,0,3,0
6719,2239,pixel_transfer,2,0,3,0,3,0
6723,2240,pixel_transfer,2,0,3,0,3,0
6727,2242,pixel_transfer,2,0,3,0,3,0
6730,2243,pixel_transfer,1,0,0,0,0,0
6731,2243,pixel_transfer,2,0,3,0,3,0
6734,2244,pixel_transfer,1,0,0,0,0,0
6735,2244,pixel_transfer,2,0,3,1,3,0
6738,2245,pixel_transfer,1,0,0,0,0,0
6739,2246,pixel_transfer,2,0,2,0,3,1
6742,2247,pixel_transfer,1,0,0,0,0,0
6743,2247,pixel_transfer,2,0,2,0,2,0
6746,2248,pixel_transfer,1,0,0,0,0,0
6747,2248,pixel_transfer,2,0,2,0,2,0
6750,2249,pixel_transfer,1,0,0,0,0,0
6751,2250,pixel_transfer,2,0,2,0,2,0
6754,2251,pixel_transfer,1,0,0,0,0,0
6755,2251,pixel_transfer,2,0,2,0,2,0
6758,2252,pixel_transfer,1,0,1,0,0,0
6759,2252,pixel_transfer,2,0,2,0,2,0
6762,2253,pixel_transfer,1,0,1,0,1,0
6763,2254,pixel_transfer,2,0,2,0,2,0
6766,2255,pixel_transfer,1,0,1,0,1,0
6767,2255,pixel_transfer,2,0,2,0,2,0
6770,2256,pixel_transfer,1,0,1,0,1,0
6771,2256,pixel_transfer,2,0,2,0,2,0
6774,2257,pixel_transfer,1,0,1,0,1,0
6775,2258,pixel_transfer,2,0,2,0,2,0
6778,2259,pixel_transfer,1,0,1,0,1,0
6779,2259,pixel_transfer,2,2,2,0,2,0
6782,2260,pixel_transfer,1,0,1,0,1,0
6783,2260,pixel_transfer,0,0,2,0,2,0
6786,2261,pixel_transfer,1,0,1,0,1,0
6787,2262,pixel_transfer,0,0,2,0,2,0
6790,2263,pixel_transfer,1,0,1,0,1,0
6791,2263,pixel_transfer,0,0,2,0,2,0
6794,2264,pixel_transfer,1,0,1,0,1,0
6795,2264,pixel_transfer,0,0,2,0,2,0
6798,2265,pixel_transfer,1,0,1,0,1,0
6799,2266,pixel_transfer,0,0,2,0,2,0
6802,2267,pixel_transfer,3,0,1,0,1,0
6803,2267,pixel_transfer,0,0,2,0,2,0
6806,2268,pixel_transfer,3,0,1,0,1,0
6807,2268,pixel_transfer,0,0,2,2,2,0
6810,2269,pixel_transfer,3,0,1,0,1,0
6811,2270,pixel_transfer,0,0,0,0,2,2
6814,2271,line_marker,3,0,1,0,1,0
6818,2272,pixel_transfer,3,0,1,0,1,0
6822,2273,pixel_transfer,3,0,1,0,1,0
6826,2275,pixel_transfer,3,0,1,0,1,0
6830,2276,pixel_transfer,3,0,3,0,1,0
6834,2277,pixel_transfer,3,0,3,0,3,0
6838,2279,pixel_transfer,3,0,3,0,3,0
6842,2280,pixel_transfer,3,0,3,0,3,0
6846,2281,pixel_transfer,3,0,3,0,3,0
6850,2283,pixel_transfer,3,0,3,0,3,0
6854,2284,pixel_transfer,3,1,3,0,3,0
6858,2285,pixel_transfer,2,0,3,0,3,0
6862,2287,pixel_transfer,2,0,3,0,3,0
6866,2288,pixel_transfer,2,0,3,0,3,0
6870,2289,pixel_transfer,2,0,3,0,3,0
6874,2291,pixel_transfer,2,0,3,0,3,0
6877,2292,pixel_transfer,1,0,0,0,0,0
6878,2292,pixel_transfer,2,0,3,0,3,0
6881,2293,pixel_transfer,1,0,0,0,0,0
6882,2293,pixel_transfer,2,0,3,1,3,0
6885,2294,pixel_transfer,1,0,0,0,0,0
6886,2295,pixel_transfer,2,0,2,0,3,1
6889,2296,pixel_transfer,1,0,0,0,0,0
6890,2296,pixel_transfer,2,0,2,0,2,0
6893,2297,pixel_transfer,1,0,0,0,0,0
6894,2297,pixel_transfer,2,0,2,0,2,0
6897,2298,pixel_transfer,1,0,0,0,0,0
6898,2299,pixel_transfer,2,0,2,0,2,0
6901,2300,pixel_transfer,1,0,0,0,0,0
6902,2300,pixel_transfer,2,0,2,0,2,0
6905,2301,pixel_transfer,1,0,1,0,0,0
6906,2301,pixel_transfer,2,0,2,0,2,0
6909,2302,pixel_transfer,1,0,1,0,1,0
6910,2303,pixel_transfer,2,0,2,0,2,0
6913,2304,pixel_transfer,1,0,1,0,1,0
6914,2304,pixel_transfer,2,0,2,0,2,0
6917,2305,pixel_transfer,1,0,1,0,1,0
6918,2305,pixel_transfer,2,0,2,0,2,0
6921,2306,pixel_transfer,1,0,1,0,1,0
6922,2307,pixel_transfer,2,0,2,0,2,0
6925,2308,pixel_transfer,1,0,1,0,1,0
6926,2308,pixel_transfer,2,2,2,0,2,0
6929,2309,pixel_transfer,1,0,1,0,1,0
6930,2309,pixel_transfer,0,0,2,0,2,0
6933,2310,pixel_transfer,1,0,1,0,1,0
6934,2311,pixel_transfer,0,0,2,0,2,0
6937,2312,pixel_transfer,1,0,1,0,1,0
6938,2312,pixel_transfer,0,0,2,0,2,0
6941,2313,pixel_transfer,1,0,1,0,1,0
6942,2313,pixel_transfer,0,0,2,0,2,0
6945,2314,pixel_transfer,1,0,1,0,1,0
6946,2315,pixel_transfer,0,0,2,0,2,0
6949,2316,pixel_transfer,3,0,1,0,1,0
6950,2316,pixel_transfer,0,0,2,0,2,0
6953,2317,pixel_transfer,3,0,1,0,1,0
6954,2317,pixel_transfer,0,0,2,2,2,0
6957,2318,pixel_transfer,3,0,1,0,1,0
6958,2319,pixel_transfer,0,0,0,0,2,2
6961,2320,line_marker,3,0,1,0,1,0
6965,2321,pixel_transfer,3,0,1,0,1,0
6969,2322,pixel_transfer,3,0,1,0,1,0
6973,2324,pixel_transfer,3,0,1,0,1,0
6977,2325,pixel_transfer,3,0,3,0,1,0
6981,2326,pixel_transfer,3,0,3,0,3,0
6985,2328,pixel_transfer,3,0,3,0,3,0
6989,2329,pixel_transfer,3,0,3,0,3,0
6993,2330,pixel_transfer,3,0,3,0,3,0
6997,2332,pixel_transfer,3,0,3,0,3,0
7001,2333,pixel_transfer,3,1,3,0,3,0
7005,2334,pixel_transfer,2,0,3,0,3,0
7009,2336,pixel_transfer,2,0,3,0,3,0
7013,2337,pixel_transfer,2,0,3,0,3,0
7017,2338,pixel_transfer,2,0,3,0,3,0
7021,2340,pixel_transfer,2,0,3,0,3,0
7024,2341,pixel_transfer,1,0,0,0,0,0
7025,2341,pixel_transfer,2,0,3,0,3,0
7028,2342,pixel_transfer,1,0,0,0,0,0
7029,2342,pixel_transfer,2,0,3,1,3,0
7032,2343,pixel_transfer,1,0,0,0,0,0
7033,2344,pixel_transfer,2,0,2,0,3,1
7036,2345,pixel_transfer,1,0,0,0,0,0
7037,2345,pixel_transfer,2,0,2,0,2,0
7040,2346,pixel_transfer,1,0,0,0,0,0
7041,2346,pixel_transfer,2,0,2,0,2,0
7044,2347,pixel_transfer,1,0,0,0,0,0
7045,2348,pixel_transfer,2,0,2,0,2,0
7048,2349,pixel_transfer,1,0,0,0,0,0
7049,2349,pixel_transfer,2,0,2,0,2,0
7052,2350,pixel_transfer,1,0,1,0,0,0
7053,2350,pixel_transfer,2,0,2,0,2,0
7056,2351,pixel_transfer,1,0,1,0,1,0
7057,2352,pixel_transfer,2,0,2,0,2,0
7060,2353,pixel_transfer,1,0,1,0,1,0
7061,2353,pixel_transfer,2,0,2,0,2,0
7064,2354,pixel_transfer,1,0,1,0,1,0
7065,2354,pixel_transfer,2,0,2,0,2,0
7068,2355,pixel_transfer,1,0,1,0,1,0
7069,2356,pixel_transfer,2,0,2,0,2,0
7072,2357,pixel_transfer,1,0,1,0,1,0
7073,2357,pixel_transfer,2,2,2,0,2,0
7076,2358,pixel_transfer,1,0,1,0,1,0
7077,2358,pixel_transfer,0,0,2,0,2,0
7080,2359,pixel_transfer,1,0,1,0,1,0
7081,2360,pixel_transfer,0,0,2,0,2,0
7084,2361,pixel_transfer,1,0,1,0,1,0
7085,2361,pixel_transfer,0,0,2,0,2,0
7088,2362,pixel_transfer,1,0,1,0,1,0
7089,2362,pixel_transfer,0,0,2,0,2,0
7092,2363,pixel_transfer,1,0,1,0,1,0
7093,2364,pixel_transfer,0,0,2,0,2,0
7096,2365,pixel_transfer,3,0,1,0,1,0
7097,2365,pixel_transfer,0,0,2,0,2,0
7100,2366,pixel_transfer,3,0,1,0,1,0
7101,2366,pixel_transfer,0,0,2,2,2,0
7104,2367,pixel_transfer,3,0,1,0,1,0
7105,2368,pixel_transfer,0,0,0,0,2,2
7108,2369,line_marker,3,0,1,0,1,0
7112,2370,pixel_transfer,3,0,1,0,1,0
7116,2371,pixel_transfer,3,0,1,0,1,0
7120,2373,pixel_transfer,3,0,1,0,1,0
7124,2374,pixel_transfer,3,0,3,0,1,0
7128,2375,pixel_transfer,3,0,3,0,3,0
7132,2377,pixel_transfer,3,0,3,0,3,0
7136,2378,pixel_transfer,3,0,3,0,3,0
7140,2379,pixel_transfer,3,0,3,0,3,0
7144,2381,pixel_transfer,3,0,3,0,3,0
7148,2382,pixel_transfer,3,1,3,0,3,0
7152,2383,pixel_transfer,2,0,3,0,3,0
7156,2385,pixel_transfer,2,0,3,0,3,0
7160,2386,pixel_transfer,2,0,3,0,3,0
7164,2387,pixel_transfer,2,0,3,0,3,0
7168,2389,pixel_transfer,2,0,3,0,3,0
7171,2390,pixel_transfer,1,0,0,0,0,0
7172,2390,pixel_transfer,2,0,3,0,3,0
7175,2391,pixel_transfer,1,0,0,0,0,0
7176,2391,pixel_transfer,2,0,3,1,3,0
7179,2392,pixel_transfer,1,0,0,0,0,0
7180,2393,pixel_transfer,2,0,2,0,3,1
7183,2394,pixel_transfer,1,0,0,0,0,0
7184,2394,pixel_transfer,2,0,2,0,2,0
7187,2395,pixel_transfer,1,0,0,0,0,0
7188,2395,pixel_transfer,2,0,2,0,2,0
7191,2396,pixel_transfer,1,0,0,0,0,0
7192,2397,pixel_transfer,2,0,2,0,2,0
7195,2398,pixel_transfer,1,0,0,0,0,0
7196,2398,pixel_transfer,2,0,2,0,2,0
7199,2399,pixel_transfer,1,0,1,0,0,0
7200,2399,pixel_transfer,2,0,2,0,2,0
7203,2400,pixel_transfer,1,0,1,0,1,0
7204,2401,pixel_transfer,2,0,2,0,2,0
7207,2402,pixel_transfer,1,0,1,0,1,0
7208,2402,pixel_transfer,2,0,2,0,2,0
7211,2403,pixel_transfer,1,0,1,0,1,0
7212,2403,pixel_transfer,2,0,2,0,2,0
7215,2404,pixel_transfer,1,0,1,0,1,0
