dsc_cycle,axi_cycle,phase,slice_buffer_valid,slice_buffer_last,flatness_valid,flatness_last,predict_valid,predict_last
2086,695,pixel_transfer,1,0,1,0,1,0
2087,695,pixel_transfer,0,0,2,0,2,0
2090,696,pixel_transfer,1,0,1,0,1,0
2091,696,pixel_transfer,0,0,2,0,2,0
2094,697,pixel_transfer,1,0,1,0,1,0
2095,698,pixel_transfer,0,0,2,0,2,0
2098,699,pixel_transfer,3,0,1,0,1,0
2099,699,pixel_transfer,0,0,2,0,2,0
2102,700,pixel_transfer,3,0,1,0,1,0
2103,700,pixel_transfer,0,0,2,2,2,0
2106,701,pixel_transfer,3,0,1,0,1,0
2107,702,pixel_transfer,0,0,0,0,2,2
2110,703,line_marker,3,0,1,0,1,0
2114,704,pixel_transfer,3,0,1,0,1,0
2118,705,pixel_transfer,3,0,1,0,1,0
2122,707,pixel_transfer,3,0,1,0,1,0
2126,708,pixel_transfer,3,0,3,0,1,0
2130,709,pixel_transfer,3,0,3,0,3,0
2134,711,pixel_transfer,3,0,3,0,3,0
2138,712,pixel_transfer,3,0,3,0,3,0
2142,713,pixel_transfer,3,0,3,0,3,0
2146,715,pixel_transfer,3,0,3,0,3,0
2150,716,pixel_transfer,3,1,3,0,3,0
2154,717,pixel_transfer,2,0,3,0,3,0
2158,719,pixel_transfer,2,0,3,0,3,0
2162,720,pixel_transfer,2,0,3,0,3,0
2166,721,pixel_transfer,2,0,3,0,3,0
2170,723,pixel_transfer,2,0,3,0,3,0
2173,724,pixel_transfer,1,0,0,0,0,0
2174,724,pixel_transfer,2,0,3,0,3,0
2177,725,pixel_transfer,1,0,0,0,0,0
2178,725,pixel_transfer,2,0,3,1,3,0
2181,726,pixel_transfer,1,0,0,0,0,0
2182,727,pixel_transfer,2,0,2,0,3,1
2185,728,pixel_transfer,1,0,0,0,0,0
2186,728,pixel_transfer,2,0,2,0,2,0
2189,729,pixel_transfer,1,0,0,0,0,0
2190,729,pixel_transfer,2,0,2,0,2,0
2193,730,pixel_transfer,1,0,0,0,0,0
2194,731,pixel_transfer,2,0,2,0,2,0
2197,732,pixel_transfer,1,0,0,0,0,0
2198,732,pixel_transfer,2,0,2,0,2,0
2201,733,pixel_transfer,1,0,1,0,0,0
2202,733,pixel_transfer,2,0,2,0,2,0
2205,734,pixel_transfer,1,0,1,0,1,0
2206,735,pixel_transfer,2,0,2,0,2,0
2209,736,pixel_transfer,1,0,1,0,1,0
2210,736,pixel_transfer,2,0,2,0,2,0
2213,737,pixel_transfer,1,0,1,0,1,0
2214,737,pixel_transfer,2,0,2,0,2,0
2217,738,pixel_transfer,1,0,1,0,1,0
2218,739,pixel_transfer,2,0,2,0,2,0
2221,740,pixel_transfer,1,0,1,0,1,0
2222,740,pixel_transfer,2,2,2,0,2,0
2225,741,pixel_transfer,1,0,1,0,1,0
2226,741,pixel_transfer,0,0,2,0,2,0
2229,742,pixel_transfer,1,0,1,0,1,0
2230,743,pixel_transfer,0,0,2,0,2,0
2233,744,pixel_transfer,1,0,1,0,1,0
2234,744,pixel_transfer,0,0,2,0,2,0
2237,745,pixel_transfer,1,0,1,0,1,0
2238,745,pixel_transfer,0,0,2,0,2,0
2241,746,pixel_transfer,1,0,1,0,1,0
2242,747,pixel_transfer,0,0,2,0,2,0
2245,748,pixel_transfer,3,0,1,0,1,0
2246,748,pixel_transfer,0,0,2,0,2,0
2249,749,pixel_transfer,3,0,1,0,1,0
2250,749,pixel_transfer,0,0,2,2,2,0
2253,750,pixel_transfer,3,0,1,0,1,0
2254,751,pixel_transfer,0,0,0,0,2,2
2257,752,line_marker,3,0,1,0,1,0
2261,753,pixel_transfer,3,0,1,0,1,0
2265,754,pixel_transfer,3,0,1,0,1,0
2269,756,pixel_transfer,3,0,1,0,1,0
2273,757,pixel_transfer,3,0,3,0,1,0
2277,758,pixel_transfer,3,0,3,0,3,0
2281,760,pixel_transfer,3,0,3,0,3,0
2285,761,pixel_transfer,3,0,3,0,3,0
2289,762,pixel_transfer,3,0,3,0,3,0
2293,764,pixel_transfer,3,0,3,0,3,0
2297,765,pixel_transfer,3,1,3,0,3,0
2301,766,pixel_transfer,2,0,3,0,3,0
2305,768,pixel_transfer,2,0,3,0,3,0
2309,769,pixel_transfer,2,0,3,0,3,0
2313,770,pixel_transfer,2,0,3,0,3,0
2317,772,pixel_transfer,2,0,3,0,3,0
2320,773,pixel_transfer,1,0,0,0,0,0
2321,773,pixel_transfer,2,0,3,0,3,0
2324,774,pixel_transfer,1,0,0,0,0,0
2325,774,pixel_transfer,2,0,3,1,3,0
2328,775,pixel_transfer,1,0,0,0,0,0
2329,776,pixel_transfer,2,0,2,0,3,1
2332,777,pixel_transfer,1,0,0,0,0,0
2333,777,pixel_transfer,2,0,2,0,2,0
2336,778,pixel_transfer,1,0,0,0,0,0
2337,778,pixel_transfer,2,0,2,0,2,0
2340,779,pixel_transfer,1,0,0,0,0,0
2341,780,pixel_transfer,2,0,2,0,2,0
2344,781,pixel_transfer,1,0,0,0,0,0
2345,781,pixel_transfer,2,0,2,0,2,0
2348,782,pixel_transfer,1,0,1,0,0,0
